DateHeure;0;1;2;3;4;5;6
2020-09-18 10:45:00;2.1688408732169712e-05;0.03608865824893985;0.04163820402731219;6.182356897095967e-06;3.5327751997874067e-06;0.07772590597165387;6.623953888358215e-06
2020-09-18 11:00:00;2.1688897866368284e-05;0.037368457228131674;0.046706823529710964;6.186341249938534e-06;3.5350519724018474e-06;0.08407389669176397;6.628222837845375e-06
2020-09-18 11:15:00;2.1693882564135893e-05;0.0477518997927056;0.042502358738276305;6.219287029071002e-06;3.5538781311922167e-06;0.09025312293530215;6.663521887486732e-06
2020-09-18 11:30:00;2.1693303909197603e-05;0.04678977567551472;0.047463251641543885;6.216163487362609e-06;3.5520932505989774e-06;0.09425147482364887;6.660175235902387e-06
2020-09-18 11:45:00;2.1692148170970534e-05;0.04467877381743273;0.05367640250396919;6.209378621345767e-06;3.5482161838989062e-06;0.0983529685030105;6.652905736195291e-06
2020-09-18 12:00:00;2.169586851488541e-05;0.05239673552983588;0.04852162603120758;6.233883224058682e-06;3.5622188136331354e-06;0.10091663178735073;6.679160668008907e-06
2020-09-18 12:15:00;2.169724338537408e-05;0.055393798530768014;0.048509160037442635;6.243359169476343e-06;3.5676336393372327e-06;0.10390118701857652;6.689313466394834e-06
2020-09-18 12:30:00;2.1697556995517193e-05;0.05630862821379539;0.0519507588495246;6.246188009517878e-06;3.569250119101863e-06;0.10825722595748276;6.692344366231003e-06
2020-09-18 12:45:00;2.1700808702543546e-05;0.06317142592842473;0.047338604802979974;6.267954561860915e-06;3.5816881487831236e-06;0.11050825700289832;6.715665672541534e-06
2020-09-18 13:00:00;2.1698354486013844e-05;0.05809436952050139;0.05241570076622915;6.251821851874613e-06;3.5724694577180258e-06;0.11050782565184551;6.698380626578055e-06
2020-09-18 13:15:00;2.169917018094436e-05;0.05977572061569093;0.05070917330489171;6.257165850186315e-06;3.575523171535798e-06;0.11048281877538012;6.704106338982866e-06
2020-09-18 13:30:00;2.1701791617102762e-05;0.06531180495634013;0.04667473078654559;6.2747257266251465e-06;3.5855573855211543e-06;0.11198479316362461;6.72292049265738e-06
2020-09-18 13:45:00;2.1700198208977262e-05;0.06206384579628279;0.05088032492524403;6.264389636760306e-06;3.5796510480916944e-06;0.11294203795298903;6.711846110286324e-06
