DateHeure,P_NET_TRAFO,V_avg_trafo,P_TENNIS,V_avg_tennis
2020-09-19 06:15:00,7116.0,236.81,-170.0,235.2471406840049
2020-09-19 06:30:00,7777.0,236.87,-170.0,235.17208514901023
2020-09-19 06:45:00,6719.0,236.92,-170.0,235.18940565708598
2020-09-19 07:00:00,5617.0,236.9,-100.0,235.3452902297672
2020-09-19 07:15:00,2174.0,236.44,250.0,235.3914782513023
2020-09-19 07:30:00,4014.0,236.5,-1230.0,235.32219621899955
2020-09-19 07:45:00,3883.0,236.59,-2910.0,235.576230337443
2020-09-19 08:00:00,6487.0,236.63,-5090.0,235.88222598011347
2020-09-19 08:15:00,6472.0,236.22,-4780.0,235.8591319693459
2020-09-19 08:30:00,5649.0,237.96,-4650.0,235.2644611920806
2020-09-19 08:45:00,6208.0,238.34,-6800.0,237.29673413962811
2020-09-19 09:00:00,17433.0,237.83,-10180.0,237.84521689535825
2020-09-19 09:15:00,13575.0,237.71,-13810.0,235.82449095319458
2020-09-19 09:30:00,14790.0,237.38,-16350.0,237.09466154541173
2020-09-19 09:45:00,20144.0,237.26,-12340.0,236.80598641081693
2020-09-19 10:00:00,21155.0,236.94,-4610.0,234.74484594980996
2020-09-19 10:15:00,13555.0,236.97,-6270.0,233.1513592068466
2020-09-19 10:30:00,19574.0,236.84,-13820.0,235.20095266246972
2020-09-19 10:45:00,14046.0,236.82,-18470.0,236.10739258509747
2020-09-19 11:00:00,26960.0,236.35,-31960.0,237.73552034421218
2020-09-19 11:15:00,30666.0,236.62,-30490.0,236.9618709834981
2020-09-19 11:30:00,19876.0,236.26,-22240.0,236.41916173045985
2020-09-19 11:45:00,34752.0,236.57,-23780.0,236.31523868200574
2020-09-19 12:00:00,32389.0,237.41,-16960.0,234.3580212694529
2020-09-19 12:15:00,20866.0,237.22,-12170.0,234.70443143096668
2020-09-19 12:30:00,26787.0,236.69,-18640.0,235.48962779706454
2020-09-19 12:45:00,27719.0,237.45,-17430.0,234.8141279821127
2020-09-19 13:00:00,17485.0,237.55,-18980.0,235.5415893212916
2020-09-19 13:15:00,21152.0,237.52,-20980.0,237.78748186843933
2020-09-19 13:30:00,31032.0,236.6,-21590.0,237.5854092742229
2020-09-19 13:45:00,24676.0,237.11,-15190.0,235.48962779706454
2020-09-19 14:00:00,13932.0,237.97,-10770.0,235.12012362478316
2020-09-19 14:15:00,19845.0,237.76,-13080.0,237.49880673384445
2020-09-19 14:30:00,16389.0,237.43,-11880.0,236.3383326927733
2020-09-19 14:45:00,10988.0,237.94,-14080.0,236.48844376276264
2020-09-19 15:00:00,13057.0,239.11,-16420.0,237.8856314142015
2020-09-19 15:15:00,11270.0,238.57,-13640.0,239.1615755091106
2020-09-19 15:30:00,14572.0,238.59,-15230.0,238.41102015916408
2020-09-19 15:45:00,18649.0,238.75,-17100.0,237.98378095996372
2020-09-19 16:00:00,18450.0,238.77,-13640.0,237.44684520961738
2020-09-19 16:15:00,7893.0,239.15,-10640.0,236.95609748080625
2020-09-19 16:30:00,-842.0,239.74,-19010.0,238.94218240681855
2020-09-19 16:45:00,27291.0,239.87,-48710.0,243.480155522649
2020-09-19 17:00:00,45108.0,238.25,-52140.0,244.53093301257408
2020-09-19 17:15:00,29845.0,238.86,-28520.0,239.28859256833232
2020-09-19 17:30:00,14071.0,238.76,-19860.0,238.95372941220236
2020-09-19 17:45:00,11404.0,238.86,-21630.0,239.7851137998354
2020-09-19 18:00:00,24942.0,237.77,-25470.0,240.5934041767009
2020-09-19 18:15:00,19961.0,235.81,-17550.0,237.78170836574742
2020-09-19 18:30:00,17198.0,236.45,-15480.0,234.87186300903167
2020-09-19 18:45:00,19271.0,236.48,-12070.0,235.7667559262756
2020-09-19 19:00:00,18226.0,236.06,-5180.0,234.99310656556148
2020-09-19 19:15:00,17204.0,236.54,-2330.0,233.2783762660683
2020-09-19 19:30:00,9546.0,237.03,-790.0,233.8788205460255
2020-09-19 19:45:00,15112.0,236.76,-50.0,235.05084159248042
2020-09-19 20:00:00,12211.0,236.52,830.0,233.8788205460255
2020-09-19 20:15:00,9954.0,236.48,40.0,234.2136837021555
2020-09-19 20:30:00,9710.0,236.63,-170.0,235.05084159248042
2020-09-19 20:45:00,9047.0,236.49,-170.0,234.8083544794208
2020-09-19 21:00:00,13681.0,236.92,-170.0,234.49658533405847
2020-09-19 21:15:00,7224.0,236.59,780.0,234.24832471830692
2020-09-19 21:30:00,5486.0,236.8,780.0,234.8141279821127
2020-09-19 21:45:00,5569.0,237.92,-170.0,235.42611926745369
2020-09-19 22:00:00,5243.0,238.73,-160.0,236.64432833544384
2020-09-19 22:15:00,5415.0,238.79,-170.0,237.7412938469041
2020-09-19 22:30:00,5748.0,238.53,-170.0,237.55654176076342
2020-09-19 22:45:00,6471.0,239.0,-170.0,237.41797769615795
2020-09-19 23:00:00,5533.0,239.1,100.0,237.6315972957581
2020-09-19 23:15:00,5102.0,236.96,850.0,237.77016136036357
2020-09-19 23:30:00,5359.0,236.48,-130.0,235.43766627283748
2020-09-19 23:45:00,4912.0,236.19,-170.0,235.3337432243834
2020-09-20 00:00:00,5167.0,235.98,-170.0,235.09702961401558
2020-09-20 00:15:00,4740.0,236.15,-170.0,234.87763651172355
2020-09-20 00:30:00,5785.0,236.36,510.0,234.99310656556148
2020-09-20 00:45:00,4367.0,237.11,840.0,234.9873330628696
2020-09-20 01:00:00,4247.0,236.53,180.0,236.07275156894607
2020-09-20 01:15:00,4801.0,236.26,-170.0,235.6166448562863
2020-09-20 01:30:00,5255.0,236.76,-170.0,235.05661509517242
2020-09-20 01:45:00,4822.0,236.97,-170.0,235.5704568347511
2020-09-20 02:00:00,4688.0,236.53,-170.0,235.80717044511886
2020-09-20 02:15:00,5646.0,236.61,-170.0,235.4549867809132
2020-09-20 02:30:00,5512.0,236.74,570.0,235.30487571092388
2020-09-20 02:45:00,4289.0,237.21,380.0,235.4318927701456
2020-09-20 03:00:00,5133.0,237.46,-170.0,236.09584557971368
2020-09-20 03:15:00,4395.0,237.55,-170.0,236.3672002062328
2020-09-20 03:30:00,5169.0,237.42,-170.0,236.5173112762221
2020-09-20 03:45:00,5152.0,237.62,100.0,236.3383326927733
2020-09-20 04:00:00,3816.0,238.31,840.0,236.413388227768
2020-09-20 04:15:00,4387.0,238.49,580.0,237.02537951310902
2020-09-20 04:30:00,4877.0,238.34,-170.0,237.21013159924962
2020-09-20 04:45:00,6405.0,238.45,-170.0,237.22745210732532
2020-09-20 05:00:00,4588.0,238.74,-170.0,237.11198205348742
2020-09-20 05:15:00,5167.0,238.72,-170.0,237.6085032849905
2020-09-20 05:30:00,4678.0,238.49,-180.0,237.4641657176931
2020-09-20 05:45:00,5081.0,238.4,230.0,237.23899911270917
2020-09-20 06:00:00,4094.0,237.9,710.0,237.0080590050333
2020-09-20 06:15:00,4857.0,237.44,-170.0,236.8233069188926
2020-09-20 06:30:00,4817.0,236.83,-170.0,236.30369167662198
2020-09-20 06:45:00,4902.0,236.54,-170.0,235.6686063805133
2020-09-20 07:00:00,5913.0,236.7,-170.0,235.299102208232
2020-09-20 07:15:00,3453.0,236.63,780.0,235.36261073784286
2020-09-20 07:30:00,2983.0,236.81,160.0,235.691700391281
2020-09-20 07:45:00,2008.0,237.47,-940.0,235.91686699626493
2020-09-20 08:00:00,2840.0,237.84,-3150.0,236.9618709834981
2020-09-20 08:15:00,4137.0,238.06,-5260.0,237.40065718808225
