DateHeure;0;1;2;3;4;5;6;7;8
2020-09-18 10:45:00;1.03;1.030813408285256;1.03081528652106;1.0494186436426194;1.0453832289330913;1.0494187935565849;1.0494186925941646;1.0707503541071197;1.049418815737697
2020-09-18 11:00:00;1.03;1.030836656009762;1.0308385342879254;1.050094964405374;1.0455682668011077;1.050095114415955;1.050095013388467;1.0731679752426642;1.050095136611362
2020-09-18 11:15:00;1.03;1.0310735702637819;1.0310754489736247;1.0556873162342983;1.0515681452007322;1.0556874670437708;1.0556873654782546;1.0804552722779035;1.0556874893573809
2020-09-18 11:30:00;1.03;1.0310460677745865;1.0310479464343174;1.055157113466113;1.050557099442221;1.0551572641998437;1.0551571626853373;1.0810216917391722;1.0551572865022472
2020-09-18 11:45:00;1.03;1.0309911374933456;1.0309930160529883;1.0540054224476858;1.048803173547337;1.0540055730168922;1.0540054716131877;1.0809948462566878;1.054005595294953
2020-09-18 12:00:00;1.03;1.0311679591506233;1.0311698380324512;1.058164934280557;1.0534623356966841;1.058165085443968;1.0581649836400853;1.0858574982951321;1.0581651078099465
2020-09-18 12:15:00;1.03;1.0312333044199697;1.0312351834208624;1.0597734201802254;1.0550720306776058;1.0597735715734153;1.0597734696147834;1.0882844893553094;1.0597735939733917
2020-09-18 12:30:00;1.03;1.0312482097819122;1.0312500888099638;1.0602535990177244;1.0552186199982259;1.0602537504795104;1.0602536484746814;1.0899592175663988;1.0602537728896362
2020-09-18 12:45:00;1.03;1.0314027579175327;1.0314046372271852;1.0639483430217935;1.0593604147415816;1.0639484950113893;1.063948392651096;1.0942712997240873;1.063948517499609
2020-09-18 13:00:00;1.03;1.0312861131565016;1.031287992253617;1.0612099105888655;1.0561298655051437;1.0612100621872644;1.0612099600904303;1.0915326970760888;1.0612100846176034
2020-09-18 13:15:00;1.03;1.0313248817542504;1.0313267609220056;1.0621170228052301;1.0572023906002064;1.062117174533214;1.0621170723491087;1.0924329693230008;1.062117196982726
2020-09-18 13:30:00;1.03;1.0314494741842595;1.0314513535790335;1.0650977084003659;1.0605741281679963;1.0650978605541532;1.0650977580832826;1.0958255696415282;1.0650978830666669
2020-09-18 13:45:00;1.03;1.0313737421960396;1.031375621452823;1.0633432180521594;1.058411996946414;1.0633433699553103;1.063343267653235;1.094333528150398;1.0633433924307398
